"","Species","Year","Station","Abundance","GV_fraction"
"1","ACWO",2015,"SP 1",0,0.472247632841269
"2","ACWO",2016,"SP 1",0,0.425146870315075
"3","ACWO",2017,"SP 1",0,0.462808847427368
"4","ACWO",2018,"SP 1",0,0.49446461101373
"5","ACWO",2019,"SP 1",0,0.576149190465609
"6","ACWO",2020,"SP 1",0,0.61156177520752
"7","ACWO",2021,"SP 1",0,0.5982576161623
"8","ACWO",2015,"SP 2",0,0.303836221496264
"9","ACWO",2016,"SP 2",0,0.2828612079223
"10","ACWO",2017,"SP 2",0,0.418603748083115
"11","ACWO",2018,"SP 2",0,0.403823713461558
"12","ACWO",2019,"SP 2",0,0.492479731639226
"13","ACWO",2020,"SP 2",0,0.484864701827367
"14","ACWO",2021,"SP 2",0,0.475784569978714
"15","ACWO",2015,"SP 3",0,0.662445094850328
"16","ACWO",2016,"SP 3",0,0.636958989832136
"17","ACWO",2017,"SP 3",0,0.663753641976251
"18","ACWO",2018,"SP 3",0,0.700142429934608
"19","ACWO",2019,"SP 3",0,0.76611825492647
"20","ACWO",2020,"SP 3",0,0.717956999937693
"21","ACWO",2021,"SP 3",0,0.754809988869561
"22","ACWO",2015,"SP 4",0,0.594792048136393
"23","ACWO",2016,"SP 4",0,0.599809889992078
"24","ACWO",2017,"SP 4",0,0.623400549093882
"25","ACWO",2018,"SP 4",0,0.61502264936765
"26","ACWO",2019,"SP 4",0,0.643382440010707
"27","ACWO",2020,"SP 4",0,0.640267789363861
"28","ACWO",2021,"SP 4",0,0.656527757644653
"29","ACWO",2015,"SP 5",0,0.634882900449965
"30","ACWO",2016,"SP 5",0,0.630395180649228
"31","ACWO",2017,"SP 5",0,0.657420270972782
"32","ACWO",2018,"SP 5",0,0.688334743181864
"33","ACWO",2019,"SP 5",0,0.737687865893046
"34","ACWO",2020,"SP 5",0,0.726177553335826
"35","ACWO",2021,"SP 5",0,0.757180624537998
"36","ACWO",2015,"SP 6",0,0.731305353343487
"37","ACWO",2016,"SP 6",0,0.712951518595219
"38","ACWO",2017,"SP 6",0,0.707970306277275
"39","ACWO",2018,"SP 6",0,0.722678638994694
"40","ACWO",2019,"SP 6",0,0.75960598140955
"41","ACWO",2020,"SP 6",0,0.736198239028454
"42","ACWO",2021,"SP 6",0,0.738434180617332
"43","ACWO",2015,"SP 7",0,0.490510530769825
"44","ACWO",2016,"SP 7",0.111111111,0.513803558424115
"45","ACWO",2017,"SP 7",0,0.640396930277348
"46","ACWO",2018,"SP 7",0,0.658727157860994
